Name;Entity Start;Entity End;ArtNet IP;ArtNet Universe;;;;;TOTAL PIXELS
1;100;269;192.168.1.45;0;Start;0;;;170
2;270;358;192.168.1.45;1;;;;;89
3;400;569;192.168.1.45;2;;;;;
4;570;658;192.168.1.45;3;;;;;
5;700;869;192.168.1.45;4;;;;;
6;870;958;192.168.1.45;5;;;;;
7;1000;1169;192.168.1.45;6;;;;;
8;1170;1258;192.168.1.45;7;;;;;
9;1300;1469;192.168.1.45;8;;;;;
10;1470;1558;192.168.1.45;9;;;;;
11;1600;1769;192.168.1.45;10;;;;;
12;1770;1858;192.168.1.45;11;;;;;
13;1900;2069;192.168.1.45;12;;;;;
14;2070;2158;192.168.1.45;13;;;;;
15;2200;2369;192.168.1.45;14;;;;;
16;2370;2458;192.168.1.45;15;;;;;
17;2500;2669;192.168.1.45;16;;;;;
18;2670;2758;192.168.1.45;17;;;;;
19;2800;2969;192.168.1.45;18;;;;;
20;2970;3058;192.168.1.45;19;;;;;
21;3100;3269;192.168.1.45;20;;;;;
22;3270;3358;192.168.1.45;21;;;;;
23;3400;3569;192.168.1.45;22;;;;;
24;3570;3658;192.168.1.45;23;;;;;
25;3700;3869;192.168.1.45;24;;;;;
26;3870;3958;192.168.1.45;25;;;;;
27;4000;4169;192.168.1.45;26;;;;;
28;4170;4258;192.168.1.45;27;;;;;
29;4300;4469;192.168.1.45;28;;;;;
30;4470;4558;192.168.1.45;29;;;;;
31;4600;4769;192.168.1.45;30;;;;;
32;4770;4858;192.168.1.45;31;;;;;
33;5100;5269;192.168.1.46;32;Start;5000;;;
34;5270;5358;192.168.1.46;33;;;;;
35;5400;5569;192.168.1.46;34;;;;;
36;5570;5658;192.168.1.46;35;;;;;
37;5700;5869;192.168.1.46;36;;;;;
38;5870;5958;192.168.1.46;37;;;;;
39;6000;6169;192.168.1.46;38;;;;;
40;6170;6258;192.168.1.46;39;;;;;
41;6300;6469;192.168.1.46;40;;;;;
42;6470;6558;192.168.1.46;41;;;;;
43;6600;6769;192.168.1.46;42;;;;;
44;6770;6858;192.168.1.46;43;;;;;
45;6900;7069;192.168.1.46;44;;;;;
46;7070;7158;192.168.1.46;45;;;;;
47;7200;7369;192.168.1.46;46;;;;;
48;7370;7458;192.168.1.46;47;;;;;
49;7500;7669;192.168.1.46;48;;;;;
50;7670;7758;192.168.1.46;49;;;;;
51;7800;7969;192.168.1.46;50;;;;;
52;7970;8058;192.168.1.46;51;;;;;
53;8100;8269;192.168.1.46;52;;;;;
54;8270;8358;192.168.1.46;53;;;;;
55;8400;8569;192.168.1.46;54;;;;;
56;8570;8658;192.168.1.46;55;;;;;
57;8700;8869;192.168.1.46;56;;;;;
58;8870;8958;192.168.1.46;57;;;;;
59;9000;9169;192.168.1.46;58;;;;;
60;9170;9258;192.168.1.46;59;;;;;
61;9300;9469;192.168.1.46;60;;;;;
62;9470;9558;192.168.1.46;61;;;;;
63;9600;9769;192.168.1.46;62;;;;;
64;9770;9858;192.168.1.46;63;;;;;
65;10100;10269;192.168.1.47;64;Start;10000;;;
66;10270;10358;192.168.1.47;65;;;;;
67;10400;10569;192.168.1.47;66;;;;;
68;10570;10658;192.168.1.47;67;;;;;
69;10700;10869;192.168.1.47;68;;;;;
70;10870;10958;192.168.1.47;69;;;;;
71;11000;11169;192.168.1.47;70;;;;;
72;11170;11258;192.168.1.47;71;;;;;
73;11300;11469;192.168.1.47;72;;;;;
74;11470;11558;192.168.1.47;73;;;;;
75;11600;11769;192.168.1.47;74;;;;;
76;11770;11858;192.168.1.47;75;;;;;
77;11900;12069;192.168.1.47;76;;;;;
78;12070;12158;192.168.1.47;77;;;;;
79;12200;12369;192.168.1.47;78;;;;;
80;12370;12458;192.168.1.47;79;;;;;
81;12500;12669;192.168.1.47;80;;;;;
82;12670;12758;192.168.1.47;81;;;;;
83;12800;12969;192.168.1.47;82;;;;;
84;12970;13058;192.168.1.47;83;;;;;
85;13100;13269;192.168.1.47;84;;;;;
86;13270;13358;192.168.1.47;85;;;;;
87;13400;13569;192.168.1.47;86;;;;;
88;13570;13658;192.168.1.47;87;;;;;
89;13700;13869;192.168.1.47;88;;;;;
90;13870;13958;192.168.1.47;89;;;;;
91;14000;14169;192.168.1.47;90;;;;;
92;14170;14258;192.168.1.47;91;;;;;
93;14300;14469;192.168.1.47;92;;;;;
94;14470;14558;192.168.1.47;93;;;;;
95;14600;14769;192.168.1.47;94;;;;;
96;14770;14858;192.168.1.47;95;;;;;
97;15100;15269;192.168.1.48;96;Start;15000;;;
98;15270;15358;192.168.1.48;97;;;;;
99;15400;15569;192.168.1.48;98;;;;;
100;15570;15658;192.168.1.48;99;;;;;
101;15700;15869;192.168.1.48;100;;;;;
102;15870;15958;192.168.1.48;101;;;;;
103;16000;16169;192.168.1.48;102;;;;;
104;16170;16258;192.168.1.48;103;;;;;
105;16300;16469;192.168.1.48;104;;;;;
106;16470;16558;192.168.1.48;105;;;;;
107;16600;16769;192.168.1.48;106;;;;;
108;16770;16858;192.168.1.48;107;;;;;
109;16900;17069;192.168.1.48;108;;;;;
110;17070;17158;192.168.1.48;109;;;;;
111;17200;17369;192.168.1.48;110;;;;;
112;17370;17458;192.168.1.48;111;;;;;
113;17500;17669;192.168.1.48;112;;;;;
114;17670;17758;192.168.1.48;113;;;;;
115;17800;17969;192.168.1.48;114;;;;;
116;17970;18058;192.168.1.48;115;;;;;
117;18100;18269;192.168.1.48;116;;;;;
118;18270;18358;192.168.1.48;117;;;;;
119;18400;18569;192.168.1.48;118;;;;;
120;18570;18658;192.168.1.48;119;;;;;
121;18700;18869;192.168.1.48;120;;;;;
122;18870;18958;192.168.1.48;121;;;;;
123;19000;19169;192.168.1.48;122;;;;;
124;19170;19258;192.168.1.48;123;;;;;
125;19300;19469;192.168.1.48;124;;;;;
126;19470;19558;192.168.1.48;125;;;;;
127;19600;19769;192.168.1.48;126;;;;;
128;19770;19858;192.168.1.48;127;;;;;
Projecteur;1;1;192.168.1.45;200;;;;;